index,page,ID,title,kind,url,metascore,critic_count,critic_count_positive,critic_count_mixed,critic_count_negative,userscore,user_count,user_count_positive,user_count_mixed,user_count_negative,developer,publisher,record_label,platform,release_date,rating,esrb,esrb_reason,runtime,genre,cast,show_type,summary
0,0,tv_dexter,Dexter,tv show,http://www.metacritic.com/tv/dexter,77,27,24,2,1,9.3,876,354,3,11,NA,Showtime,NA,NA,"Oct  1, 2006",NA,NA,NA,52,"[u'Action/Adventure', u'Drama']",NA,Returning Series,Based on Jeff Lindsay's novels Darkly Dreaming Dexter and Dearly Devoted Dexter this crime thriller follows Dexter Morgan. Dexter is a forensic blood spatter expert for the Miami Dade Police...
1,0,tv_surface,Surface,tv show,http://www.metacritic.com/tv/surface,39,23,1,10,12,9.3,290,216,4,8,NA,NBC,NA,NA,"Sep 19, 2005",NA,NA,NA,60,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,Ended,"Ever wonder what life would be like if a new form of sea life began to appear in locales all over the earth? ""Surface"" is an expansive drama and undersea adventure that centers on the appearance of..."
2,2,tv_recount,Recount,tv show,http://www.metacritic.com/tv/recount,66,25,15,7,3,6.8,32,12,0,2,NA,HBO,NA,NA,"May 25, 2008",NA,NA,NA,116,"[u'Action/Adventure', u'Drama', u'Movie/Mini-Series']",NA,TV Movie,"Jay Roach directs this film about the controversy surrounding the incidents that took place in Florida surrounding the 2000 presidential election. Chronicling the weeks the followed, this film goes..."
3,3,tv_smith,Smith,tv show,http://www.metacritic.com/tv/smith,60,29,14,10,5,8.9,75,51,2,4,NA,CBS,NA,NA,"Sep 19, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,This drama follows the adventures of a team of thieves who visit different cities to execute high-level crimes.
4,3,tv_bones,Bones,tv show,http://www.metacritic.com/tv/bones,55,29,13,11,5,7.2,204,82,0,23,Hart Hanson,FOX,NA,NA,"Sep 13, 2005",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Returning Series,"From executive producers Barry Josephson and Hart Hanson comes the darkly amusing drama Bones, inspired by real-life forensic anthropologist and novelist Kathy Reichs. Forensic anthropologist Dr...."
5,3,tv_being-human-uk,Being Human (UK),tv show,http://www.metacritic.com/tv/being-human-uk,79,8,8,0,0,7.5,53,17,1,3,NA,BBC-3,NA,NA,"Feb 18, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,Returning Series,"Life among the living is tough enough, but meet Mitchell, a 120-year-old vampire, George, a highly intelligent werewolf, and Annie an agoraphobic ghost who died under mysterious circumstances, whom..."
6,3,tv_criminal-minds-suspect-behavior,Criminal Minds: Suspect Behavior,tv show,http://www.metacritic.com/tv/criminal-minds-suspect-behavior,42,24,4,13,7,4.6,18,4,0,3,NA,CBS,NA,NA,"Feb 16, 2011",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Chris Mundy and Ed Bernero are behind this spin-off of Criminal Minds, which is being co-produced for CBS by ABC Studios, CBS Television Studios and The Mark Gordon Company."
7,4,tv_the-tudors,The Tudors,tv show,http://www.metacritic.com/tv/the-tudors,64,27,14,11,2,8.0,73,36,5,5,Michael  Hirst,Showtime,NA,NA,"Apr  1, 2007",NA,NA,NA,60,"[u'Action/Adventure', u'Drama', u'Movie/Mini-Series']",NA,Ended,"The Tudors focuses on the life and romances of the young King Henry VIII.  The first series takes a look at the often overlooked, early political relationships as well as Henry's trysts with such..."
8,4,tv_xiii,XIII,tv show,http://www.metacritic.com/tv/xiii,45,6,0,4,2,7.7,7,0,0,0,NA,NBC,NA,NA,"Feb  8, 2009",NA,NA,NA,240,"[u'Action/Adventure', u'Drama', u'Movie/Mini-Series']",NA,Mini-Series,"Based on a Belgian comic book and an Ubisoft video game, this action mini-series is about a massive governmental conspiracy involving the assassination of the first female U.S. president. A man is..."
9,5,tv_damages,Damages,tv show,http://www.metacritic.com/tv/damages,75,27,22,4,1,8.6,118,48,6,6,NA,FX,NA,NA,"Jul 24, 2007",NA,NA,NA,65,"[u'Action/Adventure', u'Drama']",NA,Returning Series,"Damages is a legal thriller set in the world of New York City high-stakes litigation. The series, which provides a view into the true nature of power and success, follows the turbulent lives of..."
